symbol,frequency,return_type,transformation,lag,pair_count,autocorrelation
IWM,daily_session,close_to_close_log_return,raw,5,1502,0.061252712491603675
IWM,daily_session,close_to_close_log_return,raw,10,1497,-0.013095141997565148
IWM,daily_session,close_to_close_log_return,raw,20,1487,0.016819176283003022
IWM,daily_session,close_to_close_log_return,absolute,5,1502,0.21459097263773155
IWM,daily_session,close_to_close_log_return,absolute,10,1497,0.14889393088746958
IWM,daily_session,close_to_close_log_return,absolute,20,1487,0.1483553107316415
IWM,daily_session,close_to_close_log_return,squared,5,1502,0.254626880482444
IWM,daily_session,close_to_close_log_return,squared,10,1497,0.11134842018177657
IWM,daily_session,close_to_close_log_return,squared,20,1487,0.09740731676245197
QQQ,daily_session,close_to_close_log_return,raw,5,1502,0.04251112039083235
QQQ,daily_session,close_to_close_log_return,raw,10,1497,-0.05836373052492158
QQQ,daily_session,close_to_close_log_return,raw,20,1487,0.0030425329902470147
QQQ,daily_session,close_to_close_log_return,absolute,5,1502,0.2775255118834844
QQQ,daily_session,close_to_close_log_return,absolute,10,1497,0.22845325389810472
QQQ,daily_session,close_to_close_log_return,absolute,20,1487,0.13825677286212046
QQQ,daily_session,close_to_close_log_return,squared,5,1502,0.22139814632042387
QQQ,daily_session,close_to_close_log_return,squared,10,1497,0.17663880192899678
QQQ,daily_session,close_to_close_log_return,squared,20,1487,0.07641282419164364
SPY,daily_session,close_to_close_log_return,raw,5,1502,0.06905708891329232
SPY,daily_session,close_to_close_log_return,raw,10,1497,-0.05090015312152604
SPY,daily_session,close_to_close_log_return,raw,20,1487,-0.009036714466775928
SPY,daily_session,close_to_close_log_return,absolute,5,1502,0.3508554690373914
SPY,daily_session,close_to_close_log_return,absolute,10,1497,0.2862174742487206
SPY,daily_session,close_to_close_log_return,absolute,20,1487,0.18020988862763
SPY,daily_session,close_to_close_log_return,squared,5,1502,0.301689135425338
SPY,daily_session,close_to_close_log_return,squared,10,1497,0.2122603088078174
SPY,daily_session,close_to_close_log_return,squared,20,1487,0.08606350950044306
